_;id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
10929;16377499;Big & cosy apartment in trendy Neukölln;107271709;K;Neukölln;Neuköllner Mitte/Zentrum;52.46640937560833;13.43773197713366;Entire home/apt;90;2;18;27/10/2018;0.8;1;352
10940;16388476;Gemütliche und stylische 3 Zimmer Wohnung;107353415;Torsten;Friedrichshain-Kreuzberg;Frankfurter Allee Süd FK;52.51221005471707;13.468975315704933;Entire home/apt;75;4;13;07/09/2018;0.59;2;0
10943;16391819;Central Aparts Berlin;14393396;Edoardo G. L.;Mitte;Alexanderplatz;52.52952616440021;13.398529044860489;Private room;75;3;4;27/01/2018;0.28;1;0
10957;16399879;Central, bright and cozy;32880961;Gudrun;Friedrichshain-Kreuzberg;Tempelhofer Vorstadt;52.492411299656;13.396662739165924;Private room;85;20;23;21/09/2018;1.04;6;23
10958;16400369;My beloved apartment in Prenzlauerberg;2008587;Nicola;Pankow;Helmholtzplatz;52.5422787311708;13.415932786201813;Private room;98;3;45;04/11/2018;2.06;1;83
10959;16400708;cozy room in Kreuzberg;15573787;Lisa;Friedrichshain-Kreuzberg;nördliche Luisenstadt;52.50264366983638;13.437424290833212;Private room;85;2;11;23/08/2018;0.49;1;0
10961;16401216;Inspiring & Positive Apartment;24861887;Thomas;Friedrichshain-Kreuzberg;Frankfurter Allee Süd FK;52.50543180482005;13.465257299160324;Private room;79;3;0;;;1;246
10965;16410022;Berlin Mitte Apartment;38357328;Franziska;Pankow;Prenzlauer Berg Südwest;52.53077888473217;13.407189743125588;Entire home/apt;83;3;71;21/10/2018;3.18;2;19
10968;16412450;Cosy sunny studio in lively F'hain;107544542;Roman;Friedrichshain-Kreuzberg;Frankfurter Allee Süd FK;52.50845180376032;13.459207095273692;Private room;97;2;2;19/09/2017;0.14;1;0
10972;16415384;Central. Beautiful flat.;39586119;Bernhard;Neukölln;Reuterstraße;52.48494837128185;13.433567658457138;Entire home/apt;85;5;44;25/10/2018;1.91;2;319
10974;16420530;Delightfully Spacious Apartment in Schöneberg;107627069;Jason;Tempelhof - Schöneberg;Schöneberg-Süd;52.48188099471993;13.353216980669924;Entire home/apt;90;5;2;17/04/2017;0.09;2;0
10976;16420952;Bright 2 room apartment in Prenzlauer Berg;10914556;Yaroslav;Pankow;Prenzlauer Berg Nord;52.5511156994862;13.416310546507628;Entire home/apt;120;3;3;03/01/2018;0.13;1;0
10986;16431212;cosy and quite flat for you;89057986;Birgit;Friedrichshain-Kreuzberg;Karl-Marx-Allee-Nord;52.523808691112734;13.446545571764329;Entire home/apt;85;7;2;22/05/2018;0.09;7;303
10987;16432117;Cosy apartment in Kreuzkölln/ Berlin;51050498;Jan;Neukölln;Reuterstraße;52.49439358791789;13.421495257192683;Entire home/apt;80;3;3;17/06/2017;0.13;1;0
10989;16432925;Nice Apartement in Kreuzberg/Neukölln;19107094;Caroline;Neukölln;Reuterstraße;52.48692201963305;13.437173483106942;Entire home/apt;130;2;4;19/06/2017;0.18;1;355
10995;16437243;Bright and modern flat in the heart of Berlin;47336632;Oliver;Pankow;Helmholtzplatz;52.54340841235789;13.412731228018991;Entire home/apt;89;5;7;15/07/2018;0.36;1;0
10998;16437932;Cozy apartment in Prenzlauer Berg.;47055202;Fernando;Pankow;Prenzlauer Berg Südwest;52.53679393083539;13.412176901519308;Entire home/apt;90;2;3;02/01/2018;0.13;1;279
11003;16445876;111qm modern rooftop apartment in Prenzlauer Berg;24155801;Mats&Lucy;Pankow;Prenzlauer Berg Nord;52.54178473214362;13.438925207827284;Entire home/apt;103;2;19;01/10/2018;0.84;1;0
11018;16463176;S BORNHOLMER STR,  ganze Wohng;31974145;Lydia;Mitte;Osloer Straße;52.55744543371752;13.384817008516691;Entire home/apt;79;2;7;24/09/2018;0.4;1;126
11019;16464222;Huge flat in the heart of Berlin;108025548;Baharbin;Mitte;Alexanderplatz;52.52872361488773;13.399162973166929;Entire home/apt;180;1;111;31/10/2018;4.9;6;35
